stylecode,Amber mark,试穿者姓名,身高 （厘米）,体重 （公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,Charm Mark,试穿者姓名,身高 （厘米）,体重 （公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,Fabulous Mark,试穿者姓名,身高 （厘米）,体重 （公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,Glamour Mark,试穿者姓名,身高 （厘米）,体重 （公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型
11145422,11145422Amber,Amber,157,46,76,XS/S,合身,薄款,宽松,11145422Charm,Charm,163,53,80,XS/S,合身,薄款,宽松,11145422Fabulous,Fabulous,169,63,91,XS/S,合身,薄款,宽松,11145422Glamour,Glamour,165,72,100,M/L,合身,薄款,宽松
11145047,11145047Amber,Amber,157,46,76,XS,宽松,薄款,宽松,11145047Charm,Charm,163,53,80,XS,合身,薄款,宽松,11145047Fabulous,Fabulous,169,63,91,S,合身,薄款,宽松,11145047Glamour,Glamour,165,72,100,M,合身,薄款,宽松
11144793,11144793Amber,Amber,157,46,76,XS,宽松,薄款,宽松,11144793Charm,Charm,163,53,80,XS,合身,薄款,宽松,11144793Fabulous,Fabulous,169,63,91,S,合身,薄款,宽松,11144793Glamour,Glamour,165,72,100,M,合身,薄款,宽松
11145044,11145044Amber,Amber,157,46,76,XS,宽松,薄款,宽松,11145044Charm,Charm,163,53,80,XS,合身,薄款,宽松,11145044Fabulous,Fabulous,169,63,91,S,合身,薄款,宽松,11145044Glamour,Glamour,165,72,100,M,合身,薄款,宽松
11144861,11144861Amber,Amber,157,46,76,XS,合身,薄款,适中,11144861Charm,Charm,163,53,80,S,合身,薄款,适中,11144861Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11144861Glamour,Glamour,165,72,100,L,合身,薄款,适中
11151319,11151319Amber,Amber,157,46,76,XS,合身,薄款,适中,11151319Charm,Charm,163,53,80,S,合身,薄款,适中,11151319Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11151319Glamour,Glamour,165,72,100,L,合身,薄款,适中
11148102,11148102Amber,Amber,157,46,76,XS,合身,薄款,适中,11148102Charm,Charm,163,53,80,S,合身,薄款,适中,11148102Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11148102Glamour,Glamour,165,72,100,L,合身,薄款,适中
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
