stylecode,Amber mark,试穿者姓名,身高 （厘米）,体重 （公斤）,胸围（厘米）,维密试穿尺码,上身效果,Charm Mark,试穿者姓名,身高 （厘米）,体重 （公斤）,胸围（厘米）,维密试穿尺码,上身效果,Fabulous Mark,试穿者姓名,身高 （厘米）,体重 （公斤）,胸围（厘米）,维密试穿尺码,上身效果,Glamour Mark,试穿者姓名,身高 （厘米）,体重 （公斤）,胸围（厘米）,维密试穿尺码,上身效果
11081672,11081672Amber,Amber,157,46,76,XS,合身,11081672Charm,Charm,163,53,80,S,合身,11081672Fabulous,Fabulous,169,63,91,M,合身,11081672Glamour,Glamour,165,72,100,L,合身
11081707,11081707Amber,Amber,157,46,76,XS,合身,11081707Charm,Charm,163,53,80,S,合身,11081707Fabulous,Fabulous,169,63,91,M,合身,11081707Glamour,Glamour,165,72,100,L,合身
11086630,11086630Amber,Amber,157,46,76,XS,合身,11086630Charm,Charm,163,53,80,S,合身,11086630Fabulous,Fabulous,169,63,91,M,合身,11086630Glamour,Glamour,165,72,100,L,合身
11103716,11103716Amber,Amber,157,46,76,XS,合身,11103716Charm,Charm,163,53,80,S,合身,11103716Fabulous,Fabulous,169,63,91,M,合身,11103716Glamour,Glamour,165,72,100,L,合身
11105606,11105606Amber,Amber,157,46,76,XS,合身,11105606Charm,Charm,163,53,80,S,合身,11105606Fabulous,Fabulous,169,63,91,M,合身,11105606Glamour,Glamour,165,72,100,L,合身
11109382,11109382Amber,Amber,157,46,76,XS,合身,11109382Charm,Charm,163,53,80,S,合身,11109382Fabulous,Fabulous,169,63,91,M,合身,11109382Glamour,Glamour,165,72,100,L,合身
11109383,11109383Amber,Amber,157,46,76,XS,合身,11109383Charm,Charm,163,53,80,S,合身,11109383Fabulous,Fabulous,169,63,91,M,合身,11109383Glamour,Glamour,165,72,100,L,合身
11109398,11109398Amber,Amber,157,46,76,XS,宽松,11109398Charm,Charm,163,53,80,S,合身,11109398Fabulous,Fabulous,169,63,91,M,合身,11109398Glamour,Glamour,165,72,100,L,合身
11113368,11113368Amber,Amber,157,46,76,XS,合身,11113368Charm,Charm,163,53,80,S,合身,11113368Fabulous,Fabulous,169,63,91,M,合身,11113368Glamour,Glamour,165,72,100,L,合身
11115297,11115297Amber,Amber,157,46,76,XS,合身,11115297Charm,Charm,163,53,80,S,合身,11115297Fabulous,Fabulous,169,63,91,M,合身,11115297Glamour,Glamour,165,72,100,L,合身
11115901,11115901Amber,Amber,157,46,76,XS,合身,11115901Charm,Charm,163,53,80,S,合身,11115901Fabulous,Fabulous,169,63,91,M,合身,11115901Glamour,Glamour,165,72,100,L,合身
11116201,11116201Amber,Amber,157,46,76,XS,宽松,11116201Charm,Charm,163,53,80,S,合身,11116201Fabulous,Fabulous,169,63,91,M,合身,11116201Glamour,Glamour,165,72,100,L,合身
11116202,11116202Amber,Amber,157,46,76,XS,宽松,11116202Charm,Charm,163,53,80,S,合身,11116202Fabulous,Fabulous,169,63,91,M,合身,11116202Glamour,Glamour,165,72,100,L,合身
11116203,11116203Amber,Amber,157,46,76,XS,合身,11116203Charm,Charm,163,53,80,S,合身,11116203Fabulous,Fabulous,169,63,91,M,合身,11116203Glamour,Glamour,165,72,100,L,合身
11116234,11116234Amber,Amber,157,46,76,XS,合身,11116234Charm,Charm,163,53,80,S,合身,11116234Fabulous,Fabulous,169,63,91,M,合身,11116234Glamour,Glamour,165,72,100,L,合身
11116341,11116341Amber,Amber,157,46,76,XS,合身,11116341Charm,Charm,163,53,80,S,合身,11116341Fabulous,Fabulous,169,63,91,M,合身,11116341Glamour,Glamour,165,72,100,L,合身
11116343,11116343Amber,Amber,157,46,76,XS,合身,11116343Charm,Charm,163,53,80,S,合身,11116343Fabulous,Fabulous,169,63,91,M,合身,11116343Glamour,Glamour,165,72,100,L,合身
11116347,11116347Amber,Amber,157,46,76,XS,合身,11116347Charm,Charm,163,53,80,S,合身,11116347Fabulous,Fabulous,169,63,91,M,合身,11116347Glamour,Glamour,165,72,100,L,合身
11116507,11116507Amber,Amber,157,46,76,XS,合身,11116507Charm,Charm,163,53,80,S,合身,11116507Fabulous,Fabulous,169,63,91,M,合身,11116507Glamour,Glamour,165,72,100,L,合身
11116508,11116508Amber,Amber,157,46,76,XS,宽松,11116508Charm,Charm,163,53,80,S,合身,11116508Fabulous,Fabulous,169,63,91,M,合身,11116508Glamour,Glamour,165,72,100,L,合身
11116509,11116509Amber,Amber,157,46,76,XS,合身,11116509Charm,Charm,163,53,80,S,合身,11116509Fabulous,Fabulous,169,63,91,M,合身,11116509Glamour,Glamour,165,72,100,L,合身
11116510,11116510Amber,Amber,157,46,76,XS,合身,11116510Charm,Charm,163,53,80,S,合身,11116510Fabulous,Fabulous,169,63,91,M,合身,11116510Glamour,Glamour,165,72,100,L,合身
11116666,11116666Amber,Amber,157,46,76,XS,合身,11116666Charm,Charm,163,53,80,S,合身,11116666Fabulous,Fabulous,169,63,91,M,合身,11116666Glamour,Glamour,165,72,100,L,合身
11116667,11116667Amber,Amber,157,46,76,XS,合身,11116667Charm,Charm,163,53,80,S,合身,11116667Fabulous,Fabulous,169,63,91,M,合身,11116667Glamour,Glamour,165,72,100,L,合身
11116682,11116682Amber,Amber,157,46,76,XS,合身,11116682Charm,Charm,163,53,80,S,合身,11116682Fabulous,Fabulous,169,63,91,M,合身,11116682Glamour,Glamour,165,72,100,L,合身
11118094,11118094Amber,Amber,157,46,76,XS,合身,11118094Charm,Charm,163,53,80,S,合身,11118094Fabulous,Fabulous,169,63,91,M,合身,11118094Glamour,Glamour,165,72,100,L,合身
11119839,11119839Amber,Amber,157,46,76,XS,合身,11119839Charm,Charm,163,53,80,S,合身,11119839Fabulous,Fabulous,169,63,91,M,合身,11119839Glamour,Glamour,165,72,100,L,合身
11120614,11120614Amber,Amber,157,46,76,XS,宽松,11120614Charm,Charm,163,53,80,S,合身,11120614Fabulous,Fabulous,169,63,91,M,合身,11120614Glamour,Glamour,165,72,100,L,合身
11116208,11116208Amber,Amber,157,46,76,S (XS/S),合身,11116208Charm,Charm,163,53,80,S (XS/S),合身,11116208Fabulous,Fabulous,169,63,91,M (M/L),合身,11116208Glamour,Glamour,165,72,100,M (M/L),合身
11116364,11116364Amber,Amber,157,46,76,S (XS/S),合身,11116364Charm,Charm,163,53,80,S (XS/S),合身,11116364Fabulous,Fabulous,169,63,91,M (M/L),合身,11116364Glamour,Glamour,165,72,100,M (M/L),合身
11116214,11116214Amber,Amber,157,46,76,S (XS/S),合身,11116214Charm,Charm,163,53,80,S (XS/S),合身,11116214Fabulous,Fabulous,169,63,91,M (M/L),合身,11116214Glamour,Glamour,165,72,100,M (M/L),合身
11116666,11116666Amber,Amber,157,46,76,XS,合身,11116666Charm,Charm,163,53,80,S,合身,11116666Fabulous,Fabulous,169,63,91,M,合身,11116666Glamour,Glamour,165,72,100,L,合身
11116667,11116667Amber,Amber,157,46,76,XS,合身,11116667Charm,Charm,163,53,80,S,合身,11116667Fabulous,Fabulous,169,63,91,M,合身,11116667Glamour,Glamour,165,72,100,L,合身
11116682,11116682Amber,Amber,157,46,76,XS,合身,11116682Charm,Charm,163,53,80,S,合身,11116682Fabulous,Fabulous,169,63,91,M,合身,11116682Glamour,Glamour,165,72,100,L,合身
11118094,11118094Amber,Amber,157,46,76,XS,合身,11118094Charm,Charm,163,53,80,S,合身,11118094Fabulous,Fabulous,169,63,91,M,合身,11118094Glamour,Glamour,165,72,100,L,合身
11119839,11119839Amber,Amber,157,46,76,XS,合身,11119839Charm,Charm,163,53,80,S,合身,11119839Fabulous,Fabulous,169,63,91,M,合身,11119839Glamour,Glamour,165,72,100,L,合身
11120614,11120614Amber,Amber,157,46,76,XS,宽松,11120614Charm,Charm,163,53,80,S,合身,11120614Fabulous,Fabulous,169,63,91,M,合身,11120614Glamour,Glamour,165,72,100,L,合身
11116208,11116208Amber,Amber,157,46,76,S (XS/S),合身,11116208Charm,Charm,163,53,80,S (XS/S),合身,11116208Fabulous,Fabulous,169,63,91,M (M/L),合身,11116208Glamour,Glamour,165,72,100,M (M/L),合身
11116364,11116364Amber,Amber,157,46,76,S (XS/S),合身,11116364Charm,Charm,163,53,80,S (XS/S),合身,11116364Fabulous,Fabulous,169,63,91,M (M/L),合身,11116364Glamour,Glamour,165,72,100,M (M/L),合身
11116214,11116214Amber,Amber,157,46,76,S (XS/S),合身,11116214Charm,Charm,163,53,80,S (XS/S),合身,11116214Fabulous,Fabulous,169,63,91,M (M/L),合身,11116214Glamour,Glamour,165,72,100,M (M/L),合身
